S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
207,132,75,42,84,27,54,39,216,108,126,141,108,45,39,69,63,27,89.0,3114.0,106.0,79.5,104.625,51.0,27.0
141,102,96,18,75,102,36,48,216,103,111,138,108,45,150,48,63,27,90.38888888888889,2456.237654320987,69.0,93.75,100.625,106.5,27.0
84,138,123,54,27,159,72,39,202,168,111,136,99,63,72,99,42,9,94.27777777777777,2628.6450617283945,79.0,111.75,111.25,57.0,9.0
27,96,147,87,27,174,135,39,285,168,124,135,54,138,18,114,0,18,99.22222222222223,5073.172839506173,76.0,111.0,134.75,9.0,18.0
90,63,144,111,54,120,135,69,285,114,132,93,72,138,9,18,78,18,96.83333333333333,3776.805555555556,73.0,95.25,129.75,43.5,18.0
15429,246,81,57,93,63,121,81,286,39,108,51,72,105,9,9,63,9,940.1111111111111,12353757.209876541,5165.0,120.75,107.875,36.0,9.0
3797,14277,75,30,66,138,108,81,297,39,72,99,54,63,9,63,9,36,1072.9444444444443,10982963.27469136,1296.6666666666667,3639.0,101.625,9.0,36.0
35049,2367,651,93,45,126,117,81,297,66,18,147,54,63,72,42,9,36,2185.1666666666665,63815902.13888894,11728.0,797.25,105.375,40.5,36.0
785,894,219,21,72,69,126,123,258,129,18,97,303,63,114,27,30,78,190.33333333333334,59008.666666666664,277.6666666666667,313.5,139.625,72.0,78.0
28917,1221,192,27,72,159,81,123,201,129,43,48,591,117,27,36,129,81,1788.5555555555557,43369006.24691359,9660.0,411.0,166.625,78.0,81.0
8685,561,180,60,54,129,81,75,201,94,57,91,387,117,126,9,1437,9,686.2777777777778,3868851.7561728414,2918.0,231.0,137.875,781.5,9.0
2679,468,174,48,63,36,72,69,154,60,81,135,486,223,144,9,1755,18,370.77777777777777,467137.6172839506,912.0,185.25,160.0,949.5,18.0
450,195,129,69,27,27,90,69,216,60,72,93,276,969,168,9,1512,18,247.16666666666666,142811.13888888888,176.0,94.5,230.625,840.0,18.0
174,117,1980,105,27,72,63,64,216,64,54,51,276,969,249,45,2487,27,391.1111111111111,475404.2098765432,108.0,549.0,219.625,1368.0,27.0
102,30,204,120,54,36,54,81,222,102,54,82,279,2280,210,87,1368,27,299.55555555555554,318622.024691358,103.0,81.0,394.25,789.0,27.0
126,90,207,42,105,57,90,81,231,102,85,114,1005,1473,1818,60,1785,60,418.3888888888889,372718.12654320983,76.0,114.75,397.625,1801.5,60.0
102,159,147,123,93,105,90,70,231,66,114,118,1176,1473,1077,9,1527,72,375.1111111111111,261478.4320987654,78.0,126.0,417.25,1302.0,72.0
111,225,123,210,75,36,94,90,244,81,159,123,702,1374,222,48,894,18,268.27777777777777,121602.97839506171,123.0,114.75,358.375,558.0,18.0
102,87,123,81,87,57,81,90,408,81,162,100,669,1215,120,54,345,48,217.22222222222223,82639.06172839507,79.0,88.5,350.75,232.5,48.0
90,96,75,48,129,27,72,54,408,100,75,78,669,1215,87,54,570,156,222.38888888888889,90676.23765432097,64.0,81.75,333.875,328.5,156.0
81,72,87,90,99,54,72,18,388,105,75,327,592,1335,105,54,153,93,211.11111111111111,94234.87654320987,75.0,78.0,364.0,129.0,93.0
60,39,141,84,48,66,81,18,297,105,70,576,447,1374,195,66,336,57,225.55555555555554,100664.91358024688,70.0,73.5,371.0,265.5,57.0
60,87,105,63,120,69,81,42,297,76,102,469,324,1374,87,69,99,78,200.11111111111111,93236.98765432097,64.0,95.25,345.625,93.0,78.0
30,138,66,72,117,60,94,90,292,51,270,363,372,1150,33,51,102,78,190.5,65782.25,51.0,95.25,335.25,67.5,78.0
57,141,141,168,75,39,108,90,276,51,129,291,555,480,237,81,69,48,168.66666666666666,20799.555555555555,102.0,99.0,247.5,153.0,48.0
45,183,192,174,93,51,63,82,276,73,126,219,555,480,117,90,30,30,159.94444444444446,20637.38580246913,103.0,129.75,234.25,73.5,30.0
132,138,204,105,111,42,45,99,262,48,126,294,421,694,72,30,405,27,180.83333333333334,29410.138888888887,89.0,123.75,248.625,238.5,27.0
111,141,216,81,54,60,72,99,177,48,126,369,231,705,60,90,225,90,164.16666666666666,23793.805555555555,94.0,117.75,228.375,142.5,90.0
48,306,147,78,36,66,72,94,177,76,72,223,135,705,54,117,258,111,154.16666666666666,23236.13888888889,81.0,138.75,194.25,156.0,111.0
111,270,111,48,54,60,76,69,196,90,117,78,108,702,129,42,87,30,132.11111111111111,22242.765432098764,67.0,123.75,179.5,108.0,30.0
114,183,129,96,27,84,117,69,216,90,84,91,159,486,66,9,18,30,114.88888888888889,11012.098765432094,73.0,105.75,164.0,42.0,30.0
27,51,93,117,0,78,99,105,216,138,69,105,159,486,18,51,9,27,102.66666666666667,11641.555555555555,65.0,55.5,172.125,13.5,27.0
