S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
85.0,112.0,126.5,51.5,87.0,69.5,103.5,120.5,336.5,61.833333333333336,72.66666666666667,142.5,66.5,79.5,161.0,78.5,116.0,93.5,108.21428571428572,8273.505102040815,104.83333333333333,123.88888888888889,82.16666666666667,96.0
95.0,96.0,107.5,71.0,80.0,45.5,93.66666666666667,128.5,320.1666666666667,53.166666666666664,68.0,123.16666666666667,70.0,88.0,151.0,81.5,117.0,103.5,102.83333333333333,7954.969387755101,99.3888888888889,119.4814814814815,72.38888888888889,100.66666666666667
108.0,94.0,120.0,56.0,75.5,67.5,95.16666666666667,112.5,337.1666666666667,50.5,76.66666666666667,104.16666666666667,72.0,120.16666666666667,121.5,53.0,87.5,89.0,106.38095238095237,10200.812925170067,95.8888888888889,122.44444444444444,73.72222222222223,76.5
117.0,109.0,134.5,49.5,81.5,103.5,106.5,111.5,338.5,54.5,79.5,97.66666666666667,87.0,121.0,151.0,68.0,99.5,95.5,113.65476190476188,10233.354591836733,98.72222222222223,133.66666666666666,81.0,87.66666666666667
83.5,76.0,115.0,36.0,77.5,110.5,121.33333333333333,127.16666666666667,315.5,54.666666666666664,80.5,104.5,76.16666666666667,101.83333333333333,139.5,82.0,95.5,85.5,105.72619047619048,8137.482142857142,88.5,127.0,70.38888888888889,87.66666666666667
90.5,79.5,97.5,43.5,82.0,86.5,118.5,117.5,299.5,62.0,76.0,129.66666666666666,101.66666666666667,97.16666666666667,128.5,62.5,98.5,70.0,105.82142857142857,6263.084183673469,100.72222222222221,121.14814814814814,72.5,77.0
1359.0,111.5,118.5,62.5,2064.5,51.0,111.0,121.5,334.0,70.33333333333333,74.33333333333333,138.16666666666666,76.5,107.5,192.0,70.0,131.0,64.5,342.88095238095235,1505862.149659864,1187.2222222222222,130.5,85.38888888888887,88.5
8229.5,84.5,99.0,51.0,5276.5,54.5,111.66666666666667,110.5,344.0,58.166666666666664,66.5,124.83333333333333,72.66666666666667,114.5,182.5,66.0,108.0,72.0,1056.9880952380952,26174291.483843535,4543.611111111111,126.70370370370372,69.72222222222221,82.0
10925.5,86.0,90.0,60.0,12323.5,63.5,716.3333333333334,86.0,341.3333333333333,56.5,74.33333333333333,121.0,86.5,128.5,127.0,71.0,122.5,102.0,1797.0714285714287,68576156.95578231,7790.0,188.7962962962963,72.27777777777777,98.5
4616.5,78.0,124.5,45.0,11726.5,47.5,1064.5,87.5,334.5,54.666666666666664,60.5,109.66666666666667,109.5,119.5,142.0,80.5,144.0,100.0,1327.0238095238096,13895386.775510201,5484.222222222223,230.5,64.38888888888889,108.16666666666667
1611.0,219.5,130.5,101.5,10847.0,58.0,1210.6666666666667,144.16666666666666,329.8333333333333,50.166666666666664,55.0,100.0,109.16666666666667,143.33333333333334,130.5,69.5,118.5,140.5,1079.2738095238096,11697126.492346937,4186.0,261.962962962963,108.22222222222223,109.5
885.0,206.0,93.0,247.5,10211.5,76.5,1687.0,809.1666666666666,342.0,64.0,58.166666666666664,91.16666666666667,90.16666666666667,254.0,112.0,71.0,123.0,113.0,1079.654761904762,9389347.754251702,3729.222222222222,412.3703703703703,109.3888888888889,102.33333333333333
627.5,159.5,117.0,649.0,7056.5,79.0,2293.0,815.5,369.5,70.83333333333333,74.83333333333333,73.66666666666667,79.5,262.0,129.0,73.5,143.5,101.5,909.0952380952381,5795753.828231293,2585.888888888889,532.6111111111111,101.72222222222221,106.16666666666667
410.0,153.0,196.0,431.0,1513.0,86.0,2835.5,820.3333333333334,364.0,75.16666666666667,88.5,75.83333333333333,73.83333333333333,246.33333333333334,155.5,73.0,120.0,99.5,526.3214285714286,791877.2355442178,666.2777777777777,578.7222222222222,105.55555555555556,97.5
461.5,152.0,250.0,530.0,727.0,116.0,2181.5,1261.0,418.5,69.0,83.66666666666667,85.66666666666667,91.5,220.0,196.5,88.0,128.0,74.0,474.80952380952385,523507.89965986396,424.72222222222223,585.0,101.55555555555556,96.66666666666667
412.0,118.5,214.0,416.5,416.0,108.5,1479.0,1457.0,389.0,66.0,63.0,97.5,132.5,215.0,135.0,114.0,163.5,55.0,398.8928571428571,352965.5552721088,308.5,505.1666666666667,82.5,110.83333333333333
