S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
27.0,66.0,183.0,0.0,132.0,18.0,54.0,102.0,102.0,36.0,69.0,192.0,63.0,45.0,186.0,30.0,168.0,120.0,77.78571428571429,3160.882653061223,117.0,83.66666666666667,57.0,106.0
35.1,68.4,175.8,0.0,130.2,19.8,54.0,102.0,102.0,35.1,66.0,187.3,58.5,45.0,184.5,33.0,162.9,114.0,77.08571428571429,3027.4826530612236,117.53333333333333,82.4,56.5,103.3
43.2,70.8,168.6,0.0,128.4,21.6,54.0,102.0,102.0,34.2,63.0,182.6,54.0,45.0,183.0,36.0,157.8,108.0,76.38571428571429,2894.0826530612235,118.06666666666666,81.13333333333334,56.0,100.6
51.3,73.2,161.4,0.0,126.6,23.4,54.0,102.0,102.0,33.3,60.0,177.9,49.5,45.0,181.5,39.0,152.7,102.0,75.6857142857143,2760.6826530612234,118.6,79.86666666666667,55.5,97.9
59.4,75.6,154.2,0.0,124.8,25.2,54.0,102.0,102.0,32.4,57.0,173.2,45.0,45.0,180.0,42.0,147.6,96.0,74.9857142857143,2627.2826530612238,119.13333333333333,78.60000000000001,55.0,95.2
67.5,78.0,147.0,0.0,123.0,27.0,54.0,102.0,102.0,31.5,54.0,168.5,40.5,45.0,178.5,45.0,142.5,90.0,74.28571428571429,2493.882653061224,119.66666666666666,77.33333333333334,54.5,92.5
75.6,80.4,139.8,0.0,121.2,28.8,54.0,102.0,102.0,30.6,51.0,163.8,36.0,45.0,177.0,48.0,137.4,84.0,73.58571428571429,2360.482653061224,120.2,76.06666666666666,54.0,89.8
83.69999999999999,82.8,132.6,0.0,119.4,30.6,54.0,102.0,102.0,29.7,48.0,159.1,31.5,45.0,175.5,51.0,132.3,78.0,72.88571428571429,2227.082653061224,120.73333333333333,74.8,53.5,87.1
91.8,85.2,125.4,0.0,117.6,32.4,54.0,102.0,102.0,28.8,45.0,154.4,27.0,45.0,174.0,54.0,127.2,72.0,72.1857142857143,2093.6826530612243,121.26666666666667,73.53333333333333,53.0,84.4
99.89999999999999,87.6,118.2,0.0,115.8,34.2,54.0,102.0,102.0,27.9,42.0,149.7,22.5,45.0,172.5,57.0,122.1,66.0,71.4857142857143,1960.2826530612244,121.8,72.26666666666667,52.5,81.7
108.0,90.0,111.0,0.0,114.0,36.0,54.0,102.0,102.0,27.0,39.0,145.0,18.0,45.0,171.0,60.0,117.0,60.0,70.78571428571429,1826.8826530612246,122.33333333333333,71.0,52.0,79.0
110.1,88.8,106.5,0.0,115.2,39.0,53.5,101.4,102.4,28.5,41.4,140.4,21.9,48.7,163.2,61.5,112.2,60.9,71.27142857142857,1755.3887755102041,121.89999999999999,70.73333333333333,52.9,78.2
112.2,87.6,102.0,0.0,116.4,42.0,53.0,100.8,102.8,30.0,43.8,135.8,25.8,52.4,155.4,63.0,107.4,61.8,71.75714285714287,1683.8948979591837,121.46666666666667,70.46666666666667,53.8,77.4
114.3,86.4,97.5,0.0,117.6,45.0,52.5,100.2,103.2,31.5,46.2,131.2,29.7,56.1,147.6,64.5,102.6,62.7,72.24285714285715,1612.4010204081633,121.03333333333333,70.2,54.7,76.6
