OR 5 Unblocked,OR 5 Blocked,OR 12 Unblocked,OR 12 Blocked
0,0,0,0
1,1,1,1
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
2,2,2,2
3,3,3,3
0,0,0,0
3,3,3,3
4,4,4,4
