S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
27,66,183,0,132,18,54,102,102,36,69,192,63,45,186,30,168,120,77.78571428571429,3160.882653061223,19.0,99.75,82.875,177.0,120.0
108,90,111,0,114,36,54,102,102,27,39,145,18,45,171,60,117,60,70.78571428571429,1826.8826530612246,56.0,87.75,66.5,144.0,60.0
129,78,66,0,126,66,49,96,106,42,63,99,57,82,93,75,69,69,75.64285714285714,1111.9438775510203,68.0,84.0,74.25,81.0,69.0
60,57,108,0,72,150,72,90,66,42,39,79,75,129,108,87,69,99,74.21428571428571,1322.8826530612246,49.0,96.75,74.0,88.5,99.0
51,81,156,0,81,129,108,90,66,36,27,60,75,129,114,60,114,60,77.78571428571429,1714.4540816326526,37.0,111.75,73.875,114.0,60.0
42,138,102,0,72,51,108,54,123,48,27,66,133,141,69,36,81,81,78.92857142857143,1889.2091836734694,26.0,90.75,87.5,75.0,81.0
60,135,102,0,18,48,153,78,237,48,31,72,54,135,207,102,126,93,83.64285714285714,3725.94387755102,54.0,75.75,101.0,166.5,93.0
60,60,102,0,117,36,153,78,237,43,27,70,81,135,174,81,126,102,85.64285714285714,3416.3724489795914,47.0,78.75,103.0,150.0,102.0
81,78,117,0,90,81,103,78,211,45,102,69,72,126,162,42,105,60,89.5,2022.5357142857142,41.0,91.5,100.75,133.5,60.0
4302,39,198,0,21261,57,81,87,282,45,102,96,81,108,165,51,111,72,1909.9285714285713,29974660.209183674,1451.0,5388.75,110.25,138.0,72.0
2445,96,120,0,3282,93,588,87,282,40,60,123,81,108,36,51,45,141,528.9285714285714,952606.3520408161,832.0,897.75,171.125,40.5,141.0
1581,96,75,0,8013,84,2688,52,273,57,60,108,148,114,144,84,51,66,953.5,4382667.535714285,555.0,2067.0,437.5,97.5,66.0
672,150,27,0,3606,63,4335,90,288,57,91,93,123,126,150,51,93,60,694.3571428571429,1833330.3724489796,241.0,961.5,650.375,121.5,60.0
297,177,63,0,570,18,4335,90,288,49,168,93,27,126,66,30,105,72,450.07142857142856,1182284.2091836734,109.0,207.0,647.0,85.5,72.0
87,93,105,0,177,27,3156,252,327,60,177,93,45,108,96,54,129,99,336.2142857142857,618912.5969387755,47.0,100.5,527.25,112.5,99.0
27,27,135,0,186,45,819,1428,282,60,18,81,120,90,102,117,153,57,237.0,149456.57142857142,48.0,98.25,362.25,127.5,57.0
30,60,102,0,120,81,489,1428,282,76,84,69,120,90,96,111,81,21,216.5,126969.67857142857,47.0,90.75,329.75,88.5,21.0
102,45,132,0,84,114,294,1410,247,45,84,70,133,85,39,78,75,147,203.21428571428572,117585.73979591834,60.0,93.75,296.0,57.0,147.0
111,36,84,0,243,93,144,741,225,45,103,72,72,117,198,75,168,186,149.0,31049.285714285714,62.0,114.0,189.875,183.0,186.0
69,81,66,0,201,105,144,741,225,58,51,66,102,117,153,81,141,150,144.71428571428572,30626.34693877551,50.0,113.25,188.0,147.0,150.0
99,72,93,0,183,111,117,529,265,33,60,60,72,112,126,75,96,90,129.0,16160.142857142857,58.0,114.75,156.0,111.0,90.0
141,39,66,0,231,63,117,318,297,33,81,129,27,63,84,81,117,81,114.64285714285714,9364.086734693878,74.0,99.75,133.125,100.5,81.0
192,78,102,0,165,36,162,318,297,40,51,198,27,63,57,60,39,69,123.5,9430.107142857143,84.0,95.25,144.5,48.0,69.0
150,111,114,0,66,87,99,292,261,102,51,183,87,85,129,63,18,66,120.57142857142857,5763.673469387755,71.0,94.5,145.0,73.5,66.0
90,102,156,0,123,69,207,318,381,102,39,168,111,126,162,51,93,87,142.28571428571428,9769.775510204081,47.0,112.5,181.5,127.5,87.0
93,81,93,0,84,87,207,318,381,114,93,112,159,126,105,9,291,87,139.14285714285714,9422.408163265305,34.0,86.25,188.75,198.0,87.0
72,138,66,0,177,39,186,255,373,189,114,57,159,112,84,18,291,81,138.35714285714286,8712.658163265305,30.0,105.0,180.625,187.5,81.0
93,87,237,0,255,84,54,153,354,189,30,33,117,156,93,48,69,69,131.57142857142858,9249.244897959183,47.0,165.75,135.75,81.0,69.0
66,123,105,0,144,84,81,153,354,144,93,9,117,156,69,42,93,129,116.35714285714286,6538.0867346938785,36.0,114.0,138.375,81.0,129.0
75,189,75,0,156,54,72,183,313,111,93,61,81,118,39,66,120,66,112.92857142857143,5535.780612244899,47.0,118.5,129.0,79.5,66.0
87,105,114,0,174,165,144,264,306,111,97,114,63,81,123,84,93,48,130.35714285714286,5750.943877551021,57.0,139.5,147.5,108.0,48.0
117,114,114,0,102,201,144,264,306,114,111,130,99,81,165,87,156,57,135.5,5434.964285714285,68.0,132.75,156.125,160.5,57.0
66,126,66,0,135,93,117,192,255,117,102,147,90,85,132,144,93,48,113.64285714285714,3375.801020408163,70.0,105.0,138.125,112.5,48.0
78,102,84,0,168,81,144,90,273,117,72,195,81,72,99,48,69,48,111.21428571428571,4084.0255102040815,42.0,108.75,130.5,84.0,48.0
102,42,114,0,228,48,144,90,273,73,36,243,81,72,138,18,141,138,110.42857142857143,6393.816326530611,40.0,108.0,126.5,139.5,138.0
111,87,114,0,171,105,99,94,270,51,36,141,90,108,153,60,75,120,105.5,3743.392857142857,57.0,119.25,111.125,114.0,120.0
